name_ar,name_he,name,category_id,place_type,opening_hours,lat,lon,skip_reason
مركز زوار نسج الصحراء,מרכז מבקרים רקמת המדבר,Desert Embroidery Visitor Center,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.320519,34.859296,
مسجد اللقية الكبير,מסגד לקיה הגדול,Laqiya Grand Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.318982,34.858438,
مسجد الاعتصام,מסגד אלאעתסאם,Al Itisam Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.323334,34.862311,
مطعم الزيتون,מסעדת אלזיתון,Al Zaytoun Restaurant,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.324168,34.859196,
مكسيكاني,מקסיקני,Mexicani,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.325439,34.861412,
المركز الجماهيري اللقية وسط البلد,המרכז הקהילתי לקיה מרכז היישוב,Laqiya Community Center Downtown,13,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM",31.324876,34.872436,
ذا روك جيم,דה רוק ג׳ים,The Rock Gym,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.323239,34.873782,
مطعم الشرق,מסעדת אלשרק,Al Sharq Restaurant,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.327460,34.876969,
حكاية كافية,קפה חקאיה,Hekaya Cafe,5,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.325249,34.868911,
سدرة نسيج النقب اللقية,אריגת הנגב לקיה Sidreh,Sidreh Negev Weaving Laqiya,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.326402,34.866837,
مدرسة اقرأ,בית ספר אקראא,Iqraa School,7,PUBLIC_SERVICE,"Sunday: 7:30 AM - 2:30 PM, Monday: 7:30 AM - 2:30 PM, Tuesday: 7:30 AM - 2:30 PM, Wednesday: 7:30 AM - 2:30 PM, Thursday: 7:30 AM - 2:30 PM",31.316665,34.864221,
توب ميد فارم أدوية وتجميل,טופ מיד פארם תרופות וקוסמטיקה,Top Med Pharm,15,PUBLIC_SERVICE,"Sunday: 8:00 AM - 4:00 PM, Monday: 8:00 AM - 4:00 PM, Tuesday: 8:00 AM - 4:00 PM, Wednesday: 8:00 AM - 4:00 PM, Thursday: 8:00 AM - 4:00 PM",31.327189,34.875655,
