@id,@type,name,name:ar,name:he,amenity,shop,office,healthcare,tourism,leisure,craft,opening_hours,phone,contact:phone,website,addr:street,addr:housenumber,@lat,@lon
4198934382,node,Al-Ikhaa Parking,الاخاء,חניית אל אח׳א,parking,,,,,,,,,,,,,31.3907842,34.7673192
4198934512,node,Al-Ikhaa Mosque,مسجد الاخاء,מסגד אל אח׳א,place_of_worship,,,,,,,,,,,,,31.3905546,34.7676911
4199638872,node,Rahat Post Office,مكتب البريد,דואר רהט,post_office,,,,,,,,,,,,,31.3952422,34.7595364
4199638888,node,Dental Electrical Appliances,دنتال للأجهزة الكهربائية,דנטל מוצרי חשמל,,electronics,,,,,,,,,,,,31.3933715,34.7668313
4199639898,node,Bank Hapoalim ATM,صراف بنك العمال,כספומט בנק הפועלים,atm,,,,,,,,,,,,,31.3963806,34.7573800
4199639906,node,Mercantile Bank,ماركنتيل,בנק מרכנתיל,bank,,,,,,,,,,https://www.mercantile.co.il,,,31.3954741,34.7572839
4199639929,node,Abu Hassan Butcher and Grill,ملحمة ومشاوي ابو حسن,אטליז וגריל אבו חסן,,butcher,,,,,,,,,,,,31.3934561,34.7720648
4199639942,node,Mercantile ATM,صراف مركنتيل,כספומט מרכנתיל,atm,,,,,,,,,,,,,31.3953748,34.7573329
4199639958,node,Yesh Bashchuna,يش بشخونا,יש בשכונה,,supermarket,,,,,,,,,http://www.yesh.co.il,,,31.3963284,34.7577407
4199639966,node,Zaqna Shop,دكان زقنة,חנות זקנה,,supermarket,,,,,,,,,,,,31.3925824,34.7675144
4199639973,node,Shopping Center,مركز التسوق,מרכז קניות,,supermarket,,,,,,,,,,,,31.3937999,34.7719173
4199639978,node,Bank Hapoalim,بنك هبوعليم,בנק הפועלים,bank,,,,,,,,,,https://www.bankhapoalim.co.il,,,31.3964418,34.7573445
4199654264,node,Lottery Shop,القمار,חנות לוטו,,lottery,,,,,,,,,,,,31.3950451,34.7577975
4199654265,node,Sababa Cafe,صبابا,סבבה קפה,cafe,,,,,,,,,,,,,31.3927951,34.7602522
4199654275,node,Al-Jabour Cafe,أرجيلة الجبور,קפה אל ג׳בור,cafe,,,,,,,,,,,,,31.3910205,34.7613017
4199654278,node,At Sami Restaurant,عند سامي,אצל סמי,fast_food,,,,,,,Mo-Su 09:00-23:00,,,,,,31.3931180,34.7700239
4199654287,node,Al-Salam Restaurant,مطعم السلام,מסעדת אלסלאם,fast_food,,,,,,,,,,,,,31.3950800,34.7584821
4199654288,node,Al-Taboon Restaurant,مطعم الطابون,מסעדת הטאבון,fast_food,,,,,,,,,,,,,31.3953094,34.7536832
4199662334,node,Izzat Falafel,فلافل عزات,פלאפל עזאת,fast_food,,,,,,,,,,,,,31.3973544,34.7554756
4200354263,node,Sima Center,سيما سنتر,סימה סנטר,,supermarket,,,,,,,,,,,,31.3927468,34.7749557
4200354281,node,Salman Shop,دكان سلمان,חנות סלמאן,,supermarket,,,,,,,,,,,,31.3956778,34.7694904
4200358100,node,Paz Gas Station,باز,פז,fuel,,,,,,,,,,https://www.paz.co.il,,,31.3945499,34.7575612
4200358112,node,Cafe Argeleh,أرجيلة,קפה ארגילה,cafe,,,,,,,,,,,,,31.3923419,34.7754013
4200358132,node,Al-Bari Pizza,بيتزا البري,פיצה אלברי,fast_food,,,,,,,,,,,,,31.3973927,34.7626099
4202076247,node,Police Parking,مصف الشرطة,חניון המשטרה,parking,,,,,,,,,,,,,31.4034951,34.7551640
4202076257,node,Parking Lot,موقف سيارات,חניון,parking,,,,,,,,,,,,,31.4000274,34.7630479
4202124980,node,Parking Lot,موقف سيارات,חניון,parking,,,,,,,,,,,,,31.3928789,34.7691674
4202524709,node,Parking Lot,موقف سيارات,חניון,parking,,,,,,,,,,,,,31.3991224,34.7621405
4205904148,node,Al-Rozana Sweets,حلويات الروزنةً,ממתקי אלרוזנה,,confectionery,,,,,,,,,,,,31.3941447,34.7524034
4205904153,node,Taysir Shop,دكان تيسير,חנות תיסיר,,supermarket,,,,,,,,,,,,31.3954037,34.7538626
4212964632,node,Parking Lot,موقف سيارات,חניון,parking,,,,,,,,,,,,,31.3935728,34.7691284
4213039294,node,Mercantile Discount Bank,بنك ماركنتيل ديسكاونت,בנק מרכנתיל דיסקונט,bank,,,,,,,,,,https://www.mercantile.co.il,,,31.3952958,34.7572708
