name_ar,name_he,name,category_id,place_type,opening_hours,lat,lon,skip_reason
الاخاء,חניית אל אח׳א,Al-Ikhaa Parking,19,PUBLIC_SERVICE,,31.390784,34.767319,invalid_type
مسجد الاخاء,מסגד אל אח׳א,Al-Ikhaa Mosque,9,PUBLIC_SERVICE,"Sunday: 5:00 AM - 10:00 PM, Monday: 5:00 AM - 10:00 PM, Tuesday: 5:00 AM - 10:00 PM, Wednesday: 5:00 AM - 10:00 PM, Thursday: 5:00 AM - 10:00 PM, Friday: 5:00 AM - 10:00 PM, Saturday: 5:00 AM - 10:00 PM",31.390555,34.767691,
مكتب البريد,דואר רהט,Rahat Post Office,12,PUBLIC_SERVICE,"Sunday: 8:00 AM - 4:00 PM, Monday: 8:00 AM - 4:00 PM, Tuesday: 8:00 AM - 4:00 PM, Wednesday: 8:00 AM - 4:00 PM, Thursday: 8:00 AM - 4:00 PM",31.395242,34.759536,
دنتال للأجهزة الكهربائية,דנטל מוצרי חשמל,Dental Electrical Appliances,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.393372,34.766831,
صراف بنك العمال,כספומט בנק הפועלים,Bank Hapoalim ATM,19,PUBLIC_SERVICE,,31.396381,34.757380,invalid_type
ماركنتيل,בנק מרכנתיל,Mercantile Bank,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.395474,34.757284,
ملحمة ومشاوي ابو حسن,אטליז וגריל אבו חסן,Abu Hassan Butcher and Grill,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.393456,34.772065,
صراف مركنتيل,כספומט מרכנתיל,Mercantile ATM,19,PUBLIC_SERVICE,,31.395375,34.757333,invalid_type
يش بشخونا,יש בשכונה,Yesh Bashchuna,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.396328,34.757741,
دكان زقنة,חנות זקנה,Zaqna Shop,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.392582,34.767514,duplicate_nearby
مركز التسوق,מרכז קניות,Shopping Center,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.393800,34.771917,duplicate_nearby
بنك هبوعليم,בנק הפועלים,Bank Hapoalim,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.396442,34.757345,
القمار,חנות לוטו,Lottery Shop,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.395045,34.757798,
صبابا,סבבה קפה,Sababa Cafe,5,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.392795,34.760252,
أرجيلة الجبور,קפה אל ג׳בור,Al-Jabour Cafe,5,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.391020,34.761302,
عند سامي,אצל סמי,At Sami Restaurant,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.393118,34.770024,
مطعم السلام,מסעדת אלסלאם,Al-Salam Restaurant,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.395080,34.758482,
مطعم الطابون,מסעדת הטאבון,Al-Taboon Restaurant,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.395309,34.753683,
فلافل عزات,פלאפל עזאת,Izzat Falafel,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.397354,34.755476,
سيما سنتر,סימה סנטר,Sima Center,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.392747,34.774956,
دكان سلمان,חנות סלמאן,Salman Shop,3,BUSINESS,"Sunday: 7:00 AM - 10:00 PM, Monday: 7:00 AM - 10:00 PM, Tuesday: 7:00 AM - 10:00 PM, Wednesday: 7:00 AM - 10:00 PM, Thursday: 7:00 AM - 10:00 PM, Friday: 7:00 AM - 10:00 PM, Saturday: 7:00 AM - 10:00 PM",31.395678,34.769490,
باز,פז,Paz Gas Station,19,PUBLIC_SERVICE,"Sunday: 8:00 AM - 8:00 PM, Monday: 8:00 AM - 8:00 PM, Tuesday: 8:00 AM - 8:00 PM, Wednesday: 8:00 AM - 8:00 PM, Thursday: 8:00 AM - 8:00 PM, Friday: 8:00 AM - 8:00 PM, Saturday: 8:00 AM - 8:00 PM",31.394550,34.757561,
أرجيلة,קפה ארגילה,Cafe Argeleh,5,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.392342,34.775401,
بيتزا البري,פיצה אלברי,Al-Bari Pizza,4,BUSINESS,"Sunday: 9:00 AM - 11:00 PM, Monday: 9:00 AM - 11:00 PM, Tuesday: 9:00 AM - 11:00 PM, Wednesday: 9:00 AM - 11:00 PM, Thursday: 9:00 AM - 11:00 PM, Friday: 9:00 AM - 11:00 PM, Saturday: 9:00 AM - 11:00 PM",31.397393,34.762610,
مصف الشرطة,חניון המשטרה,Police Parking,19,PUBLIC_SERVICE,,31.403495,34.755164,invalid_type
